Title,Published,Views,Likes,Dislikes,Comments
Good Will Hunting ,2011,1470725,3475,79,133
Warrior ,2011,4780270,11044,385,999
Being Elmo ,2011,441364,4152,68,337
Senna ,2011,435871,1520,30,203
Tomboy ,2011,884320,5444,168,457
This Means War ,2011,2540156,5354,240,807
Safe House ,2011,7586126,11180,470,2246
Margin Call ,2011,832435,1695,69,267
Hysteria ,2011,1394830,2422,114,407
New Year's Eve ,2011,1021556,2844,89,188
Act Of Valor ,2011,11035197,26420,1381,8622
George Harrison Living In The Material World ,2011,137795,1488,14,78
The Hunger Games,2011,1060888,2871,97,327
Drive,2011,4430486,10518,532,1636
Shaolin ,2011,2218376,3854,112,813
Tower Heist ,2011,5363348,6827,319,1575
Johnny English Reborn ,2011,1685520,3332,111,381
Project X ,2011,2025088,7113,359,682
The Way,2011,1279314,2551,100,304
The Change-Up ,2011,401187,1131,41,41
Puss in Boots  NEW,2011,5441948,8167,405,1643
War Horse ,2011,632567,1801,70,268
Tucker & Dale vs. Evil ,2011,456183,1446,58,185
Sherlock Holmes: A Game of Shadows  EXCLUSIVE,2011,1138349,2849,91,412
A Thousand Words,2011,481802,1506,50,133
Snow White & the Huntsman,2011,616963,1945,88,291
Senna  1988 Monaco Grand Prix,2011,473709,1587,33,304
Norman ,2011,607663,6610,82,141
A Dangerous Method,2011,157267,530,10,21
J. Edgar ,2011,1049297,1904,73,428
Moneyball ,2011,2206280,2794,152,641
The Rum Diary,2011,321655,1176,41,99
The Pirates! Band of Misfits  Exclusive New,2011,566094,1450,53,214
Johnny English Reborn ,2011,600293,1284,47,88
Hanna ,2011,589514,1908,92,106
Shame #2,2011,493654,1026,34,281
We Need to Talk About Kevin ,2011,72354,457,5,32
Mission Impossible: Ghost Protocol,2011,617406,1812,74,74
The Tree of Life  Featurette with Christopher Nolan & David Fincher,2011,279370,1098,22,255
Extremely Loud & Incredibly Close ,2011,377088,1037,42,105
Ghost Rider Spirit of Vengeance ,2011,874667,2557,127,301
Red Tails ,2011,9425081,25072,2019,11930
Pariah ,2011,130901,672,18,49
Big Miracle ,2011,606266,1503,74,340
In Time ,2011,218533,674,17,91
The Black Power Mixtape 1967-1975,2011,143481,805,17,65
El Bulli: Cooking in Progress ,2011,262002,484,18,28
Killer Elite ,2011,3899750,3980,193,1404
Chalet Girl ,2011,248228,675,27,30
John Dies at the End ,2011,268353,738,33,176
Red Tails,2011,210673,870,33,265
Some Like it Hot ,2011,481996,1074,50,46
We Need To Talk About Kevin ,2011,448472,1057,42,139
Dolphin Tale ,2011,552793,1443,73,135
"Mirror, Mirror",2011,1316966,4174,305,450
Circumstance ,2011,192698,825,34,84
Wanderlust ,2011,5029435,7356,547,399
Immortals  Amazing New,2011,2455468,4735,357,804
Contagion ,2011,8401327,11157,1053,5574
Tanner Hall,2011,2741602,6534,362,345
The Raven ,2011,336101,1003,37,114
Airplane ,2011,875328,1836,98,194
Mozart's Sister ,2011,96847,419,13,61
The Vow,2011,79869,343,6,21
The Help ,2011,72727,325,8,18
In Time ,2011,401949,838,38,112
Father of Invention,2011,311960,616,30,32
In Time,2011,137820,503,18,49
American Reunion ,2011,301088,662,28,45
Killer Elite,2011,1239527,1582,72,198
Courageous ,2011,304023,889,51,156
Battleship ,2011,3971446,6307,543,2160
Detective Dee ,2011,635309,1285,67,368
Anita ,2011,148594,517,20,42
30 Minutes or Less ,2011,282098,583,33,66
Happy Feet Two #2,2011,157861,627,31,43
Journey 2: The Mysterious Island,2011,2419623,4237,300,795
Beats Rhymes & Life: The Travels of a Tribe Called Quest ,2011,56061,288,6,38
Finding Joe,2011,68069,322,9,35
The Ides Of March ,2011,259934,386,22,48
Joyful Noise ,2011,101680,389,18,40
Hedgehog ,2011,211922,529,25,57
The Weird World of Blowfly,2011,85878,273,10,29
La Rafle ,2011,209816,529,28,103
Red Tails  New,2011,326491,683,40,338
Last Night ,2011,87086,140,5,4
Puncture,2011,560994,786,33,99
Dr. Seuss' The Lorax   EXCLUSIVE,2011,6727122,12261,1262,2876
Archie's Final Project,2011,46729,584,14,238
Shut Up Little Man ,2011,161229,413,22,79
Dark Girls ,2011,57996,280,9,64
Limelight,2011,109225,254,10,57
Twilight Breaking Dawn OFFICIAL,2011,3805768,9607,937,2465
Universe Tree Of Life  Universe Sequence,2011,484351,2593,51,527
Take Me Home ,2011,71017,166,6,22
The Sitter,2011,270916,595,38,69
The Ledge ,2011,499071,611,42,126
The Help ,2011,23702,107,1,3
Shame,2011,270994,503,31,65
Drive  Featurette: Ryan Gosling,2011,19854,147,1,5
Restless ,2011,77698,303,8,9
13 ,2011,328781,423,22,19
Shame,2011,193620,288,18,71
Rise of the Planet of the Apes  Super,2011,590472,1028,35,365
Amigo  New,2011,221954,650,44,303
A Bird of the Air,2011,102347,202,7,30
Harry Potter and the Deathly Hallows,2011,244370,585,23,151
The Big Year ,2011,2141521,1857,194,648
Twilight: Breaking Dawn Part 1  Featurette,2011,2142655,6294,475,211
The Grey ,2011,834163,1395,80,541
Killing Bono ,2011,16960,65,1,5
We Bought A Zoo ,2011,123153,293,12,27
Mozart's Sister  Exclusive Clip 1,2011,28709,129,4,12
The Descendants ,2011,104668,259,15,2
Midnight in Paris ,2011,129375,232,16,23
Ice Age: Continental Crack Up #1 & #2 SHORTS,2011,2762433,4960,539,263
Everything Must Go ,2011,300894,361,34,62
Café,2011,1929442,2413,180,324
The Whistleblower ,2011,134750,340,25,23
Warriors Of The Rainbow Seediq Bale ,2011,346445,412,33,93
Brighton Rock ,2011,40991,133,5,9
Oranges and Sunshine ,2011,43261,110,5,12
The Man Nobody Knew  CIA Documentary,2011,23684,62,1,5
The Mill and The Cross ,2011,212361,398,24,47
Kinyarwanda,2011,72825,122,6,24
The Dark Knight Rises ,2011,511367,746,37,276
Shark Night,2011,276521,702,62,63
Sympathy for Delicious ,2011,79233,126,6,21
Mission Impossible: Ghost Protocol,2011,148005,277,14,22
Jane's Journey ,2011,17697,113,1,3
Urbanized ,2011,101732,292,3,10
Haunters ,2011,168032,388,21,86
Beware the Gonzo ,2011,11305,124,4,14
Mr. Nice,2011,125248,193,13,10
Tower Heist ,2011,55805,124,5,17
Jurassic Park Trilogy,2011,98972,214,11,44
A Separation,2011,59109,128,6,19
Arthur Christmas  Full,2011,65242,160,6,17
Miss Bala,2011,184085,228,20,12
Shame #1,2011,157128,327,15,63
Scarface ,2011,168481,740,17,40
Girlfriend ,2011,1887070,3273,321,557
Talihina Sky : The Story of Kings of Leon ,2011,26454,98,8,7
Drive  Featurette: Carey Mulligan,2011,8196,45,1,3
Intruders ,2011,1508044,1342,166,294
Margaret ,2011,292067,410,50,121
The Thing  New,2011,4302983,5842,844,5854
American Teacher  Documentary,2011,44671,173,9,26
The Legend is Born,2011,290157,389,19,65
A Dangerous Method #1,2011,17204,44,0,6
Martha Marcy May Marlene,2011,18374,68,3,3
Justice ,2011,791900,581,45,190
Las Acacias ,2011,33672,61,4,8
Ghost Rider: Spirit of Vengeance,2011,1360315,2187,182,532
Turtle: The Incredible Journey,2011,35799,97,4,14
Blitz ,2011,3641451,2511,198,358
Bunraku Exclusive Clip ,2011,20625,193,7,36
Haywire ,2011,1311375,1664,225,734
Hell And Back ,2011,3490651,5502,401,1371
Griff the Invisible ,2011,1792569,3316,427,568
Act of Valor,2011,147030,438,16,190
TWIXT ,2011,1944262,3492,455,1015
The Woman,2011,291393,438,58,69
The Iceman  Promo,2011,473562,760,78,634
Mysteries of Lisbon ,2011,35028,83,6,11
Mission Impossible: Ghost Protocol,2011,25904,112,3,20
Pulp Fiction ,2011,39116,146,6,11
Happy Feet Two,2011,122909,293,21,62
Footnote,2011,43549,122,12,27
The Sitter,2011,105776,229,14,25
Oka! ,2011,28199,79,4,16
Trespass,2011,2536055,1821,261,622
Elite Squad: The Enemy Within ,2011,560530,652,29,137
Drive  Feautrette Stunts,2011,8303,41,0,5
1911 ,2011,270678,450,11,132
The Girl With the Dragon Tattoo  NEW Extended,2011,983372,1416,149,236
Everyday Sunshine ,2011,11875,67,5,9
Carnage ,2011,10045,26,1,3
The Eye Of The Storm ,2011,69168,76,6,12
Another Earth ,2011,16409,27,2,4
Saving Private Perez ,2011,581524,960,172,325
Vigilante Vigilante ,2011,40798,152,15,64
The Family Tree ,2011,103884,140,16,7
Interrupters,2011,8220,55,4,11
Anonymous ,2011,454622,489,51,161
The Loved Ones ,2011,63550,144,18,24
My Piece of the Pie,2011,88280,122,16,10
